branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,7,-1.1014024640723745e-06,-0.0086834570267466,0.0005073566717402334
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,819,-0.000166592639523054,-1.3134163699997576,0.04883307965499746
hourly,2,0.55,0.45,15,4.338735176482762e-06,0.034206588131390096,0.0008878741755454084
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,1835,-0.0003542960741516709,-2.7932702486117735,0.10857432775240994
hourly,4,0.55,0.45,12,-4.009260097236494e-06,-0.03160900660661251,0.0010147133434804667
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,110,-0.0001970550970228262,-0.06483112692050982,0.1762917933130699
daily,1,0.55,0.45,3,-7.245797381291248e-05,-0.023838673384448207,0.00303951367781155
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,203,-0.0013727907978201164,-0.4516481724828183,0.270516717325228
daily,3,0.55,0.45,13,-0.000308078741141168,-0.10135790583544428,0.015197568389057751
daily,3,0.58,0.42,0,0.0,0.0,0.0
daily,7,0.52,0.48,278,-0.00025411913882257195,-0.08360519667262617,0.42857142857142855
daily,7,0.55,0.45,175,-0.0023418489253817496,-0.7704682964505957,0.24620060790273557
daily,7,0.58,0.42,32,-0.0015912666046510298,-0.5235267129301888,0.02735562310030395
