exp_id,market,branch,horizon,universe_version,data_version,feature_set_version,label_schema,split_schema,model_family,hpo_space_version,best_params,commit_hash,result_summary,decision,owner,generated_at_utc
train_2026-02-10_191525,multi_market,all,all,runtime_universe,dv_20260210,features_runtime,ret_h_quantile,train_valid_holdout,xgboost,hpo_best_config_yaml,"{""hourly"": {""1"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}, ""score"": -0.7439141827728759}, ""2"": {""params"": {""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}, ""score"": -0.7142724353896805}, ""4"": {""params"": {""n_estimators"": 400, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}, ""score"": -0.2965199777577131}}, ""daily"": {""1"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 127, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}, ""score"": -0.09251264873097265}, ""3"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}, ""score"": 4.020330413003883}, ""7"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}, ""score"": 4.414674633342218}}}",a2b2abf,metrics_rows=246;holdout_rows=12;threshold_rows=18,trained,youka,2026-02-10 19:18:07 UTC
train_2026-02-10_192509,multi_market,all,all,runtime_universe,dv_20260210,features_runtime,ret_h_quantile,train_valid_holdout,xgboost,hpo_best_config_yaml,"{""hourly"": {""1"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}, ""score"": -0.7439141827728759}, ""2"": {""params"": {""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}, ""score"": -0.7142724353896805}, ""4"": {""params"": {""n_estimators"": 400, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}, ""score"": -0.2965199777577131}}, ""daily"": {""1"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 127, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}, ""score"": -0.09251264873097265}, ""3"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}, ""score"": 4.020330413003883}, ""7"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}, ""score"": 4.414674633342218}}}",e898d58,metrics_rows=246;holdout_rows=12;threshold_rows=18,trained,youka,2026-02-10 19:27:38 UTC
train_2026-02-10_193537,multi_market,all,all,runtime_universe,dv_20260210,features_runtime,ret_h_quantile,train_valid_holdout,xgboost,hpo_best_config_yaml,"{""hourly"": {""1"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}, ""score"": -0.7439141827728759}, ""2"": {""params"": {""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}, ""score"": -0.7142724353896805}, ""4"": {""params"": {""n_estimators"": 400, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}, ""score"": -0.2965199777577131}}, ""daily"": {""1"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 127, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}, ""score"": -0.09251264873097265}, ""3"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}, ""score"": 4.020330413003883}, ""7"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}, ""score"": 4.414674633342218}}}",497ae39,metrics_rows=246;holdout_rows=12;threshold_rows=18,trained,youka,2026-02-10 19:38:21 UTC
train_2026-02-10_193854,multi_market,all,all,runtime_universe,dv_20260210,features_runtime,ret_h_quantile,train_valid_holdout,xgboost,hpo_best_config_yaml,"{""hourly"": {""1"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}, ""score"": -0.7439141827728759}, ""2"": {""params"": {""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}, ""score"": -0.7142724353896805}, ""4"": {""params"": {""n_estimators"": 400, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}, ""score"": -0.2965199777577131}}, ""daily"": {""1"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 127, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}, ""score"": -0.09251264873097265}, ""3"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}, ""score"": 4.020330413003883}, ""7"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}, ""score"": 4.414674633342218}}}",16d4534,metrics_rows=246;holdout_rows=12;threshold_rows=18,trained,youka,2026-02-10 19:41:25 UTC
train_2026-02-10_194752,multi_market,all,all,runtime_universe,dv_20260210,features_runtime,ret_h_quantile,train_valid_holdout,xgboost,hpo_best_config_yaml,"{""hourly"": {""1"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}, ""score"": -0.7439141827728759}, ""2"": {""params"": {""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}, ""score"": -0.7142724353896805}, ""4"": {""params"": {""n_estimators"": 400, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}, ""score"": -0.2965199777577131}}, ""daily"": {""1"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 127, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}, ""score"": -0.09251264873097265}, ""3"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}, ""score"": 4.020330413003883}, ""7"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}, ""score"": 4.414674633342218}}}",85c10ed,metrics_rows=246;holdout_rows=12;threshold_rows=18,trained,youka,2026-02-10 19:49:36 UTC
train_2026-02-10_195504,multi_market,all,all,runtime_universe,dv_20260210,features_runtime,ret_h_quantile,train_valid_holdout,xgboost,hpo_best_config_yaml,"{""hourly"": {""1"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}, ""score"": -0.7439141827728759}, ""2"": {""params"": {""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}, ""score"": -0.7142724353896805}, ""4"": {""params"": {""n_estimators"": 400, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}, ""score"": -0.2965199777577131}}, ""daily"": {""1"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 127, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}, ""score"": -0.09251264873097265}, ""3"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}, ""score"": 4.020330413003883}, ""7"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}, ""score"": 4.414674633342218}}}",85c10ed,metrics_rows=246;holdout_rows=12;threshold_rows=18,trained,youka,2026-02-10 19:56:47 UTC
train_2026-02-10_200213,multi_market,all,all,runtime_universe,dv_20260210,features_runtime,ret_h_quantile,train_valid_holdout,xgboost,hpo_best_config_yaml,"{""hourly"": {""1"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}, ""score"": -0.7439141827728759}, ""2"": {""params"": {""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}, ""score"": -0.7142724353896805}, ""4"": {""params"": {""n_estimators"": 400, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}, ""score"": -0.2965199777577131}}, ""daily"": {""1"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 127, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}, ""score"": -0.09251264873097265}, ""3"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}, ""score"": 4.020330413003883}, ""7"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}, ""score"": 4.414674633342218}}}",85c10ed,metrics_rows=246;holdout_rows=12;threshold_rows=18,trained,youka,2026-02-10 20:04:02 UTC
train_2026-02-10_200921,multi_market,all,all,runtime_universe,dv_20260210,features_runtime,ret_h_quantile,train_valid_holdout,xgboost,hpo_best_config_yaml,"{""hourly"": {""1"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}, ""score"": -0.7439141827728759}, ""2"": {""params"": {""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}, ""score"": -0.7142724353896805}, ""4"": {""params"": {""n_estimators"": 400, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}, ""score"": -0.2965199777577131}}, ""daily"": {""1"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 127, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}, ""score"": -0.09251264873097265}, ""3"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}, ""score"": 4.020330413003883}, ""7"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}, ""score"": 4.414674633342218}}}",85c10ed,metrics_rows=246;holdout_rows=12;threshold_rows=18,trained,youka,2026-02-10 20:11:10 UTC
train_2026-02-10_201658,multi_market,all,all,runtime_universe,dv_20260210,features_runtime,ret_h_quantile,train_valid_holdout,xgboost,hpo_best_config_yaml,"{""hourly"": {""1"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}, ""score"": -0.7439141827728759}, ""2"": {""params"": {""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}, ""score"": -0.7142724353896805}, ""4"": {""params"": {""n_estimators"": 400, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}, ""score"": -0.2965199777577131}}, ""daily"": {""1"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 127, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}, ""score"": -0.09251264873097265}, ""3"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}, ""score"": 4.020330413003883}, ""7"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}, ""score"": 4.414674633342218}}}",85c10ed,metrics_rows=246;holdout_rows=12;threshold_rows=18,trained,youka,2026-02-10 20:18:59 UTC
train_2026-02-10_202451,multi_market,all,all,runtime_universe,dv_20260210,features_runtime,ret_h_quantile,train_valid_holdout,xgboost,hpo_best_config_yaml,"{""hourly"": {""1"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.01, ""num_leaves"": 31, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}, ""score"": -0.7439141827728759}, ""2"": {""params"": {""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}, ""score"": -0.7142724353896805}, ""4"": {""params"": {""n_estimators"": 400, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}, ""score"": -0.2965199777577131}}, ""daily"": {""1"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.01, ""num_leaves"": 127, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}, ""score"": -0.09251264873097265}, ""3"": {""params"": {""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}, ""score"": 4.020330413003883}, ""7"": {""params"": {""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}, ""score"": 4.414674633342218}}}",85c10ed,metrics_rows=246;holdout_rows=12;threshold_rows=18,trained,youka,2026-02-10 20:27:02 UTC
