branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,149,-6.269606511453598e-05,-0.4942957773630017,0.007102993404363267
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,4284,-0.00025110689563661963,-1.9797267651991093,0.2735920852359209
hourly,2,0.55,0.45,610,-7.731003584898032e-05,-0.6095123226333609,0.03919330289193303
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,5018,7.33785485412491e-06,0.05785164766992079,0.3243277524099442
hourly,4,0.55,0.45,543,-0.00012024398110649091,-0.9480035470435744,0.03361237950279046
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,328,-0.0008833218999508996,-0.29061290508384596,0.4316109422492401
daily,1,0.55,0.45,328,-0.0008833218999508996,-0.29061290508384596,0.4316109422492401
daily,1,0.58,0.42,327,-0.0008355070335696174,-0.27488181404440415,0.4316109422492401
daily,3,0.52,0.48,139,0.0017608167433321791,0.5793087085562869,0.25227963525835867
daily,3,0.55,0.45,0,0.0,0.0,0.0
daily,3,0.58,0.42,0,0.0,0.0,0.0
daily,7,0.52,0.48,133,0.0043007631323113485,1.4149510705304338,0.24924012158054712
daily,7,0.55,0.45,3,-0.00022941035714379914,-0.07547600750030992,0.00303951367781155
daily,7,0.58,0.42,0,0.0,0.0,0.0
