branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,38,1.0525758638400488e-05,0.08298508110514945,0.002917300862506342
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,930,-0.0002627185214946968,-2.0712728234641897,0.05580923389142567
hourly,2,0.55,0.45,26,-2.527423892662226e-07,-0.001992620996974899,0.001902587519025875
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,3384,-0.0004891062039219493,-3.8561133117206485,0.20535261288685946
hourly,4,0.55,0.45,40,5.8554917574741464e-05,0.4616469701592617,0.0035514967021816335
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,182,-0.0006803406448109259,-0.2238320721427946,0.24316109422492402
daily,1,0.55,0.45,10,4.539062047729086e-05,0.014933514137028694,0.02127659574468085
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,180,-0.0026135927339064374,-0.8598720094552179,0.2066869300911854
daily,3,0.55,0.45,52,-0.0013669910185392857,-0.449740045099425,0.0547112462006079
daily,3,0.58,0.42,22,-0.0008097684807597117,-0.26641383016994513,0.015197568389057751
daily,7,0.52,0.48,189,-0.0004914995821814347,-0.16170336253769202,0.26443768996960487
daily,7,0.55,0.45,98,0.00012621425351647448,0.041524489406920106,0.1458966565349544
daily,7,0.58,0.42,50,0.0001373505389179714,0.04518832730401259,0.08206686930091185
