branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,58,-2.5573689615768225e-05,-0.20162296893071668,0.002663622526636225
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,0,0.0,0.0,0.0
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,0,0.0,0.0,0.0
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,250,-0.00020493004936686913,-0.06742198624169994,0.3890577507598784
daily,1,0.55,0.45,165,-0.00032534932954878177,-0.1070399294215492,0.24620060790273557
daily,1,0.58,0.42,118,-0.0003026719059542304,-0.0995790570589418,0.1702127659574468
daily,3,0.52,0.48,302,0.00040484026302449846,0.13319244653506,0.45592705167173253
daily,3,0.55,0.45,229,0.0004450901730406327,0.14643466693036816,0.3525835866261398
daily,3,0.58,0.42,137,-7.041135759994699e-07,-0.00023165336650382562,0.2066869300911854
daily,7,0.52,0.48,283,-0.0005156627058088561,-0.16965303021111366,0.41641337386018235
daily,7,0.55,0.45,213,-0.0010084487978177297,-0.33177965448203306,0.303951367781155
daily,7,0.58,0.42,155,-0.0001852585522983194,-0.060950063706147084,0.23708206686930092
