symbol,code,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h
000001.SZ,000001,平安银行,000001 平安银行,cn_equity,csi300,yahoo,000001.SZ,cn_equity:000001.sz,平安银行,cn_equity,000001.SZ,yahoo,Asia/Shanghai,3d,11.06,11.126566229984215,0.006018646472352174,0.06656622998421469,2026-02-16 05:34 +0800,2026-02-15 21:34 UTC,11.06,-0.009485581412705467,0.006018646472352174,0.021522874357409814,eastmoney_quote:0.000001,baseline_momentum_quantile,26.092178914340586,0.23809523809523808,-0.029824492130764435,-0.035745408706805204,-0.02029522730000033,-0.006993257924230728,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,214629455269.88,1211.0,0.07838660578386603,2026-02-10 21:34:51 UTC,True,True,True,True,True,False,True,False,24.0,15.0,20.0,16.0,75.0,55.0,1,False,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.03100845577011528,55.0,0.6796863585532088,Long,0.14405275326890402,0.14405275326890402,0.004018646472352174,0.04444622998421505,0.002,0.03100845577011528,0.6796863585532088,0.3593727171064176,0.55,1.0,False,long_signal,model,True,,
000002.SZ,000002,万科A,000002 万科A,cn_equity,csi300,yahoo,000002.SZ,cn_equity:000002.sz,万科A,cn_equity,000002.SZ,yahoo,Asia/Shanghai,3d,4.88,4.9597940846104835,0.01635124684641065,0.07979408461048365,2026-02-16 05:34 +0800,2026-02-15 21:34 UTC,4.88,-0.04804663001002017,0.01635124684641065,0.08074912370284147,eastmoney_quote:0.000002,baseline_momentum_quantile,24.787526760641736,3.0303030303030303,-0.2823529444763816,0.010352006526844537,-0.03829793882564547,-0.02904697776429743,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,58221862218.479996,1211.0,0.07838660578386603,2026-02-10 21:34:51 UTC,True,True,True,True,True,False,True,False,3.0,15.0,20.0,16.0,54.0,34.0,2,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.12879575371286164,34.0,0.8853303895337512,Long,0.10293443979934186,0.10293443979934186,0.01435124684641065,0.07003408461048397,0.002,0.12879575371286164,0.8853303895337512,0.7706607790675024,0.34,1.0,False,long_signal,model,True,,
000063.SZ,000063,中兴通讯,000063 中兴通讯,cn_equity,csi300,yahoo,000063.SZ,cn_equity:000063.sz,中兴通讯,cn_equity,000063.SZ,yahoo,Asia/Shanghai,3d,37.58,37.5815115509278,4.022221734434339e-05,0.0015115509278018635,2026-02-16 05:34 +0800,2026-02-15 21:34 UTC,37.58,-0.03584531375784823,4.022221734434339e-05,0.03592575819253692,eastmoney_quote:0.000063,baseline_momentum_quantile,25.91491762023658,0.03947887879984209,-0.17947592888504638,-0.06703071077623601,-0.008588393020311669,-0.016186346761946434,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,179765241053.46,1211.0,0.07838660578386603,2026-02-10 21:34:51 UTC,True,True,True,True,True,False,True,False,21.0,15.0,20.0,16.0,72.0,52.0,1,False,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.07177107195038515,52.0,0.5012569416442074,Flat,0.0,0.0,-0.0019597777826556566,-0.07364844907219957,0.002,0.07177107195038515,0.5012569416442074,0.002513883288414842,0.52,1.0,False,probability_neutral,model,True,,
000100.SZ,000100,TCL科技,000100 TCL科技,cn_equity,csi300,yahoo,000100.SZ,cn_equity:000100.sz,TCL科技,cn_equity,000100.SZ,yahoo,Asia/Shanghai,3d,4.83,4.851478852160614,0.004446967321038109,0.02147885216061418,2026-02-16 05:34 +0800,2026-02-15 21:34 UTC,4.83,-0.03790587464854722,0.004446967321038109,0.04679980929062344,eastmoney_quote:0.000100,baseline_momentum_quantile,25.333106754256644,0.040436716538617065,0.08053694640083409,0.0147058175332615,-0.008350722791562015,-0.019103456806317008,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,100468165619.01,1211.0,0.07838660578386603,2026-02-10 21:34:51 UTC,True,True,True,True,True,False,True,False,12.0,15.0,20.0,16.0,63.0,43.0,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.08470568393917066,43.0,0.6354966124817624,Long,0.05778771334663061,0.05778771334663061,0.002446967321038109,0.011818852160614067,0.002,0.08470568393917066,0.6354966124817624,0.27099322496352474,0.43,1.0,False,long_signal,model,True,,
000157.SZ,000157,中联重科,000157 中联重科,cn_equity,csi300,yahoo,000157.SZ,cn_equity:000157.sz,中联重科,cn_equity,000157.SZ,yahoo,Asia/Shanghai,3d,9.68,9.864340679546455,0.019043458630832122,0.18434067954645528,2026-02-16 05:34 +0800,2026-02-15 21:34 UTC,9.68,-0.027780028702011447,0.019043458630832122,0.06586694596367569,eastmoney_quote:0.000157,baseline_momentum_quantile,25.150717707960965,0.062421972534332085,0.2506460712436629,0.09875140114884728,-0.035294108047317696,-0.021119963293761146,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,83717821084.48,1211.0,0.07838660578386603,2026-02-10 21:34:51 UTC,True,True,True,True,True,False,True,False,6.0,15.0,20.0,16.0,57.0,37.0,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.09364697466568714,37.0,0.9153229487333531,Long,0.1447143025578785,0.1447143025578785,0.01704345863083212,0.16498067954645493,0.002,0.09364697466568714,0.9153229487333531,0.8306458974667061,0.37,1.0,False,long_signal,model,True,,
000166.SZ,000166,申万宏源,000166 申万宏源,cn_equity,csi300,yahoo,000166.SZ,cn_equity:000166.sz,申万宏源,cn_equity,000166.SZ,yahoo,Asia/Shanghai,3d,5.1,5.118150204439743,0.0035588636156360653,0.01815020443974369,2026-02-16 05:34 +0800,2026-02-15 21:34 UTC,5.1,-0.016504115540745868,0.0035588636156360653,0.023621842772018,eastmoney_quote:0.000166,baseline_momentum_quantile,25.57297870884863,0.08368200836820085,-0.01353968484107948,-0.050279327128589624,-0.01593623984263237,-0.009049505013033563,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,127703717255.99998,1211.0,0.07838660578386603,2026-02-10 21:34:51 UTC,True,True,True,True,True,False,True,False,15.0,15.0,20.0,16.0,66.0,46.0,1,False,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.04012595831276387,46.0,0.6094159727211251,Flat,0.0,0.0,0.0015588636156360653,0.007950204439743933,0.002,0.04012595831276387,0.6094159727211251,0.21883194544225026,0.46,1.0,False,probability_neutral,model,True,,
000301.SZ,000301,东方盛虹,000301 东方盛虹,cn_equity,csi300,yahoo,000301.SZ,cn_equity:000301.sz,东方盛虹,cn_equity,000301.SZ,yahoo,Asia/Shanghai,3d,12.76,12.96721333297552,0.01623928941814423,0.20721333297552036,2026-02-16 05:34 +0800,2026-02-15 21:34 UTC,12.76,-0.04798120235861307,0.01623928941814423,0.08045978119490153,eastmoney_quote:0.000301,baseline_momentum_quantile,25.158350881058716,0.001998001998001998,0.3930131486286872,0.19252340713435756,-0.015923551161094673,-0.028966967355313265,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,84359298844.92,1211.0,0.07838660578386603,2026-02-10 21:34:51 UTC,True,True,True,True,True,False,True,False,9.0,15.0,20.0,16.0,60.0,40.0,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.1284409835535146,40.0,0.8839019633167824,Long,0.12085254055992796,0.12085254055992796,0.014239289418144232,0.1816933329755204,0.002,0.1284409835535146,0.8839019633167824,0.7678039266335648,0.4,1.0,False,long_signal,model,True,,
000333.SZ,000333,美的集团,000333 美的集团,cn_equity,csi300,yahoo,000333.SZ,cn_equity:000333.sz,美的集团,cn_equity,000333.SZ,yahoo,Asia/Shanghai,3d,80.19,81.33396760504388,0.014265713992316797,1.1439676050438834,2026-02-16 05:34 +0800,2026-02-15 21:34 UTC,80.19,-0.012756365288650665,0.014265713992316797,0.04128779327328426,eastmoney_quote:0.000333,baseline_momentum_quantile,27.13579864808761,0.08285004142502071,0.1009061844185215,0.052362278910250026,-0.029264518959401853,-0.012188441208539041,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,609435312455.97,1211.0,0.07838660578386603,2026-02-10 21:34:51 UTC,True,True,True,True,True,False,True,False,30.0,15.0,20.0,16.0,81.0,61.0,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.054044158561934924,61.0,0.8560933069521536,Long,0.2635280280683488,0.2635280280683488,0.012265713992316797,0.983587605043884,0.002,0.054044158561934924,0.8560933069521536,0.7121866139043072,0.61,1.0,False,long_signal,model,True,,
000338.SZ,000338,潍柴动力,000338 潍柴动力,cn_equity,csi300,yahoo,000338.SZ,cn_equity:000338.sz,潍柴动力,cn_equity,000338.SZ,yahoo,Asia/Shanghai,3d,25.89,27.034365126528876,0.044201047760868084,1.144365126528875,2026-02-16 05:34 +0800,2026-02-15 21:34 UTC,25.89,-0.04320255567949137,0.044201047760868084,0.13160465120122755,eastmoney_quote:0.000338,baseline_momentum_quantile,26.142005507675293,0.05246589716684156,0.8733719219505194,0.3626315468236019,-0.06499382798916109,-0.03942382341752722,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,225594619753.44,1211.0,0.07838660578386603,2026-02-10 21:34:57 UTC,True,True,True,True,True,False,True,False,27.0,15.0,20.0,16.0,78.0,58.0,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.17480720688071893,58.0,0.9960304732436888,Long,0.1857500273835189,0.1857500273835189,0.04220104776086808,1.0925851265288746,0.002,0.17480720688071893,0.9960304732436888,0.9920609464873775,0.58,1.0,False,long_signal,model,True,,
000408.SZ,000408,藏格矿业,000408 藏格矿业,cn_equity,csi300,yahoo,000408.SZ,cn_equity:000408.sz,藏格矿业,cn_equity,000408.SZ,yahoo,Asia/Shanghai,3d,85.04,84.01517492383327,-0.012051094498668147,-1.024825076166735,2026-02-16 05:34 +0800,2026-02-15 21:34 UTC,85.04,-0.07726611900411676,-0.012051094498668147,0.05316393000678046,eastmoney_quote:0.000408,baseline_momentum_quantile,25.61760696662822,0.027464982147761607,0.5422561091194373,-0.054060072612485355,0.025887766978548332,-0.02941555621361625,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,133531997354.8,1211.0,0.07838660578386603,2026-02-10 21:34:57 UTC,True,True,True,True,True,False,True,False,18.0,15.0,20.0,16.0,69.0,49.0,2,False,Retired,Remove,predicted_change_non_positive;missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.13043004901089722,49.0,0.18147488480848434,Flat,0.0,0.0,-0.014051094498668147,-1.1949050761667392,0.002,0.13043004901089722,0.18147488480848434,0.6370502303830313,0.49,1.0,False,short_disallowed,model,True,,
