task_id,tier,group_key,run_index,total_runs,seed,market,symbol,provider,pools,pipeline
core_symbol_BTCUSDT_001,core_symbol,core_symbol::BTCUSDT,1,50,42,crypto,BTCUSDT,binance,['top3'],"['src.ingestion.update_data', 'src.preprocessing.validate_data', 'src.features.build_features', 'src.labels.build_labels', 'src.split.build_folds', 'src.models.train', 'src.models.calibrate', 'src.models.predict', 'src.evaluation.walk_forward', 'src.evaluation.backtest']"
core_symbol_BTCUSDT_002,core_symbol,core_symbol::BTCUSDT,2,50,59,crypto,BTCUSDT,binance,['top3'],"['src.ingestion.update_data', 'src.preprocessing.validate_data', 'src.features.build_features', 'src.labels.build_labels', 'src.split.build_folds', 'src.models.train', 'src.models.calibrate', 'src.models.predict', 'src.evaluation.walk_forward', 'src.evaluation.backtest']"
core_symbol_BTCUSDT_003,core_symbol,core_symbol::BTCUSDT,3,50,76,crypto,BTCUSDT,binance,['top3'],"['src.ingestion.update_data', 'src.preprocessing.validate_data', 'src.features.build_features', 'src.labels.build_labels', 'src.split.build_folds', 'src.models.train', 'src.models.calibrate', 'src.models.predict', 'src.evaluation.walk_forward', 'src.evaluation.backtest']"
core_symbol_BTCUSDT_004,core_symbol,core_symbol::BTCUSDT,4,50,93,crypto,BTCUSDT,binance,['top3'],"['src.ingestion.update_data', 'src.preprocessing.validate_data', 'src.features.build_features', 'src.labels.build_labels', 'src.split.build_folds', 'src.models.train', 'src.models.calibrate', 'src.models.predict', 'src.evaluation.walk_forward', 'src.evaluation.backtest']"
core_symbol_BTCUSDT_005,core_symbol,core_symbol::BTCUSDT,5,50,110,crypto,BTCUSDT,binance,['top3'],"['src.ingestion.update_data', 'src.preprocessing.validate_data', 'src.features.build_features', 'src.labels.build_labels', 'src.split.build_folds', 'src.models.train', 'src.models.calibrate', 'src.models.predict', 'src.evaluation.walk_forward', 'src.evaluation.backtest']"
core_symbol_BTCUSDT_006,core_symbol,core_symbol::BTCUSDT,6,50,127,crypto,BTCUSDT,binance,['top3'],"['src.ingestion.update_data', 'src.preprocessing.validate_data', 'src.features.build_features', 'src.labels.build_labels', 'src.split.build_folds', 'src.models.train', 'src.models.calibrate', 'src.models.predict', 'src.evaluation.walk_forward', 'src.evaluation.backtest']"
core_symbol_BTCUSDT_007,core_symbol,core_symbol::BTCUSDT,7,50,144,crypto,BTCUSDT,binance,['top3'],"['src.ingestion.update_data', 'src.preprocessing.validate_data', 'src.features.build_features', 'src.labels.build_labels', 'src.split.build_folds', 'src.models.train', 'src.models.calibrate', 'src.models.predict', 'src.evaluation.walk_forward', 'src.evaluation.backtest']"
core_symbol_BTCUSDT_008,core_symbol,core_symbol::BTCUSDT,8,50,161,crypto,BTCUSDT,binance,['top3'],"['src.ingestion.update_data', 'src.preprocessing.validate_data', 'src.features.build_features', 'src.labels.build_labels', 'src.split.build_folds', 'src.models.train', 'src.models.calibrate', 'src.models.predict', 'src.evaluation.walk_forward', 'src.evaluation.backtest']"
core_symbol_BTCUSDT_009,core_symbol,core_symbol::BTCUSDT,9,50,178,crypto,BTCUSDT,binance,['top3'],"['src.ingestion.update_data', 'src.preprocessing.validate_data', 'src.features.build_features', 'src.labels.build_labels', 'src.split.build_folds', 'src.models.train', 'src.models.calibrate', 'src.models.predict', 'src.evaluation.walk_forward', 'src.evaluation.backtest']"
core_symbol_BTCUSDT_010,core_symbol,core_symbol::BTCUSDT,10,50,195,crypto,BTCUSDT,binance,['top3'],"['src.ingestion.update_data', 'src.preprocessing.validate_data', 'src.features.build_features', 'src.labels.build_labels', 'src.split.build_folds', 'src.models.train', 'src.models.calibrate', 'src.models.predict', 'src.evaluation.walk_forward', 'src.evaluation.backtest']"
