symbol,code,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h,news_score_30m_news,news_count_30m_news,news_score_120m_news,news_count_120m_news,news_score_1440m_news,news_count_1440m_news,news_burst_zscore_news,news_pos_neg_ratio_news,news_conflict_score_news,news_risk_level_news,news_event_risk_news,news_gate_pass_news,news_reason_codes_news,timestamp_utc_news,news_latest_headlines_news,news_latest_providers_news,news_last_available_at_utc_news
000001.SZ,1,平安银行,000001 平安银行,cn_equity,csi300,yahoo,000001.SZ,cn_equity:000001.sz,平安银行,cn_equity,000001.SZ,yahoo,Asia/Shanghai,3d,11.07,11.094738131969844,0.0022347002682785,0.024738131969844,2026-02-16 23:25 +0800,2026-02-16 15:25 UTC,11.07,-0.012794556718304,0.0022347002682785,0.0172639572548611,eastmoney_quote:0.000001,baseline_momentum_quantile,26.093082664966943,0.238095238095238,-0.0289473626972454,-0.0255281664275904,-0.0091157178998404,-0.0067790199741589,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,214823514451.86,1212.0,0.0776255707762557,2026-02-11 15:25:07 UTC,True,True,True,True,True,False,True,False,23.33333333333333,15.0,20.0,16.0,74.33333333333333,54.33333333333333,1,False,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.0300585139731651,54.33333333333333,0.569383803982345,Flat,0.0,0.0,0.00023470026827850012,0.0025981319698429963,0.002,0.0300585139731651,0.569383803982345,0.13876760796469,0.5433333333333333,1.0,False,probability_neutral,model,True,,,,,,,,,,,,,,,,,,,
000002.SZ,2,万科A,000002 万科A,cn_equity,csi300,yahoo,000002.SZ,cn_equity:000002.sz,万科A,cn_equity,000002.SZ,yahoo,Asia/Shanghai,3d,4.89,4.900254815322123,0.0020970992478779,0.0102548153221233,2026-02-16 23:25 +0800,2026-02-16 15:25 UTC,4.89,-0.0604772431959347,0.0020970992478779,0.0646714416916906,eastmoney_quote:0.000002,baseline_momentum_quantile,24.78957384426346,3.0303030303030303,-0.2808823927463534,0.0426438820522461,0.0020408629973885,-0.0282244636361711,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,58341169313.19,1212.0,0.0776255707762557,2026-02-11 15:25:07 UTC,True,True,True,True,True,False,True,False,3.333333333333333,15.0,20.0,16.0,54.33333333333333,34.33333333333333,2,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.1251486848876254,34.33333333333333,0.5651616407580923,Flat,0.0,0.0,9.709924787789986e-05,0.0004748153221229303,0.002,0.12514868488762532,0.5651616407580923,0.13032328151618455,0.34333333333333327,1.0,False,probability_neutral,model,True,,,,,,,,,,,,,,,,,,,
000063.SZ,63,中兴通讯,000063 中兴通讯,cn_equity,csi300,yahoo,000063.SZ,cn_equity:000063.sz,中兴通讯,cn_equity,000063.SZ,yahoo,Asia/Shanghai,3d,37.34999847412109,37.29974642567231,-0.0013454364257499,-0.0502520484487831,2026-02-16 23:25 +0800,2026-02-16 15:25 UTC,37.34999847412109,-0.0371181566740633,-0.0013454364257499,0.0344272838225635,yahoo_latest,baseline_momentum_quantile,3.6203328707253073,0.3087173918568955,-0.1601079953032989,-0.0752661787934184,-0.0061961085359505,-0.0161354606757882,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1212.0,0.0776255707762557,2026-02-11 15:25:07 UTC,True,True,True,True,True,False,True,False,15.0,15.0,20.0,16.0,66.0,46.0,1,False,Retired,Remove,predicted_change_non_positive;missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.0715454404966269,46.0,0.4580539332647301,Flat,0.0,0.0,-0.0033454364257499,-0.12495204539702787,0.002,0.0715454404966268,0.4580539332647301,0.08389213347053981,0.46,1.0,False,probability_neutral,model,True,,,,,,,,,,,,,,,,,,,
000100.SZ,100,TCL科技,000100 TCL科技,cn_equity,csi300,yahoo,000100.SZ,cn_equity:000100.sz,TCL科技,cn_equity,000100.SZ,yahoo,Asia/Shanghai,3d,4.72,4.633554429589548,-0.0183147394937397,-0.0864455704104516,2026-02-16 23:25 +0800,2026-02-16 15:25 UTC,4.72,-0.0565874619948984,-0.0183147394937397,0.019957983007419,eastmoney_quote:0.000100,baseline_momentum_quantile,25.310069086189625,0.0413736036408771,0.0850574468208718,-0.0483871463930442,0.0406504640245752,-0.0172630989364561,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,98180070749.84,1212.0,0.0776255707762557,2026-02-11 15:25:07 UTC,True,True,True,True,True,False,True,False,13.333333333333332,15.0,20.0,16.0,64.33333333333333,44.33333333333333,2,False,Retired,Remove,predicted_change_non_positive;missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.0765454450023175,44.33333333333333,0.0920094704828653,Flat,0.0,0.0,-0.0203147394937397,-0.09588557041045138,0.002,0.0765454450023174,0.0920094704828653,0.8159810590342694,0.4433333333333333,1.0,False,short_disallowed,model,True,,,,,,,,,,,,,,,,,,,
000157.SZ,157,中联重科,000157 中联重科,cn_equity,csi300,yahoo,000157.SZ,cn_equity:000157.sz,中联重科,cn_equity,000157.SZ,yahoo,Asia/Shanghai,3d,9.75,9.941971684528063,0.0196894035413397,0.1919716845280632,2026-02-16 23:25 +0800,2026-02-16 15:25 UTC,9.75,-0.0249762367662356,0.0196894035413397,0.0643550438489151,eastmoney_quote:0.000157,baseline_momentum_quantile,25.157923091682235,0.0619962802231866,0.2516046274383732,0.1324042263391565,-0.0328390289614941,-0.0201466558243012,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,84323218551.0,1212.0,0.0776255707762557,2026-02-11 15:25:07 UTC,True,True,True,True,True,False,True,False,6.666666666666666,15.0,20.0,16.0,57.66666666666666,37.66666666666666,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.0893312806151507,37.66666666666666,0.9213748578794416,Long,0.15320439193748608,0.15320439193748608,0.0176894035413397,0.17247168452806208,0.002,0.08933128061515071,0.9213748578794416,0.8427497157588832,0.3766666666666666,1.0,False,long_signal,model,True,,,,,,,,,,,,,,,,,,,
000166.SZ,166,申万宏源,000166 申万宏源,cn_equity,csi300,yahoo,000166.SZ,cn_equity:000166.sz,申万宏源,cn_equity,000166.SZ,yahoo,Asia/Shanghai,3d,5.09,5.081448340151556,-0.0016800903435056,-0.008551659848444,2026-02-16 23:25 +0800,2026-02-16 15:25 UTC,5.09,-0.0216839425179339,-0.0016800903435056,0.0183237618309225,eastmoney_quote:0.000166,baseline_momentum_quantile,25.57101599968078,0.0838926174496644,-0.0154738728289152,-0.046816478062991,-0.001968549022052,-0.0090228354982309,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,127453317810.4,1212.0,0.0776255707762557,2026-02-11 15:25:07 UTC,True,True,True,True,True,False,True,False,16.666666666666668,15.0,20.0,16.0,67.66666666666667,47.66666666666667,1,False,Retired,Remove,predicted_change_non_positive;missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.0400077043488564,47.66666666666667,0.4476892980915761,Flat,0.0,0.0,-0.0036800903435056003,-0.018731659848443504,0.002,0.04000770434885639,0.4476892980915761,0.10462140381684781,0.47666666666666674,1.0,False,short_disallowed,model,True,,,,,,,,,,,,,,,,,,,
000301.SZ,301,东方盛虹,000301 东方盛虹,cn_equity,csi300,yahoo,000301.SZ,cn_equity:000301.sz,东方盛虹,cn_equity,000301.SZ,yahoo,Asia/Shanghai,3d,13.2,13.553220585528871,0.0267591352673388,0.3532205855288737,2026-02-16 23:25 +0800,2026-02-16 15:25 UTC,13.2,-0.0386097670624336,0.0267591352673388,0.0921280375971113,eastmoney_quote:0.000301,baseline_momentum_quantile,25.1922524327344,0.0019313967861557,0.4147909879105169,0.2210915168246758,-0.0393700793314366,-0.029484963559941,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,87268240184.4,1212.0,0.0776255707762557,2026-02-11 15:25:07 UTC,True,True,True,True,True,False,True,False,10.0,15.0,20.0,16.0,61.0,41.0,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.130737804659545,41.0,0.9659371659917422,Long,0.14873111795744087,0.14873111795744087,0.0247591352673388,0.3268205855288721,0.002,0.1307378046595449,0.9659371659917422,0.9318743319834843,0.41,1.0,False,long_signal,model,True,,,,,,,,,,,,,,,,,,,
000333.SZ,333,美的集团,000333 美的集团,cn_equity,csi300,yahoo,000333.SZ,cn_equity:000333.sz,美的集团,cn_equity,000333.SZ,yahoo,Asia/Shanghai,3d,79.69,79.7915573047414,0.0012744046271979,0.1015573047414051,2026-02-16 23:25 +0800,2026-02-16 15:25 UTC,79.69,-0.0255847610789163,0.0012744046271979,0.0281335703333122,eastmoney_quote:0.000333,baseline_momentum_quantile,27.12954393667833,0.0834028356964136,0.0739892954037935,0.0329228887270383,0.0015035098466129,-0.0121149582426827,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,605635366624.47,1212.0,0.0776255707762557,2026-02-11 15:25:07 UTC,True,True,True,True,True,False,True,False,30.0,15.0,20.0,16.0,81.0,61.0,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.0537183314122286,61.0,0.5397411386291633,Flat,0.0,0.0,-0.0007255953728021001,-0.05782269525859935,0.002,0.0537183314122285,0.5397411386291633,0.07948227725832657,0.61,1.0,False,probability_neutral,model,True,,,,,,,,,,,,,,,,,,,
000338.SZ,338,潍柴动力,000338 潍柴动力,cn_equity,csi300,yahoo,000338.SZ,cn_equity:000338.sz,潍柴动力,cn_equity,000338.SZ,yahoo,Asia/Shanghai,3d,25.97,26.7499598935818,0.0300331110351097,0.7799598935818004,2026-02-16 23:25 +0800,2026-02-16 15:25 UTC,25.97,-0.0575718420088535,0.0300331110351097,0.117638064079073,eastmoney_quote:0.000338,baseline_momentum_quantile,26.145090739586504,0.0523012552301255,0.8859839106768026,0.3393501872526545,-0.0309646194029371,-0.0395146431424036,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,226291706257.12,1212.0,0.0776255707762557,2026-02-11 15:25:13 UTC,True,True,True,True,True,False,True,False,26.666666666666664,15.0,20.0,16.0,77.66666666666666,57.66666666666666,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.1752099060879265,57.66666666666666,0.9771153622747348,Long,0.17736332111817096,0.17736332111817096,0.0280331110351097,0.7280198935817989,0.002,0.1752099060879265,0.9771153622747348,0.9542307245494697,0.5766666666666665,1.0,False,long_signal,model,True,,,,,,,,,,,,,,,,,,,
000408.SZ,408,藏格矿业,000408 藏格矿业,cn_equity,csi300,yahoo,000408.SZ,cn_equity:000408.sz,藏格矿业,cn_equity,000408.SZ,yahoo,Asia/Shanghai,3d,84.84,83.93767488341467,-0.0106356095778563,-0.902325116585331,2026-02-16 23:25 +0800,2026-02-16 15:25 UTC,84.84,-0.0758502358826814,-0.0106356095778563,0.0545790167269686,eastmoney_quote:0.000408,baseline_momentum_quantile,25.61525236229101,0.027533039647577,0.5601323036316577,-0.0544968999899754,0.0222427149918531,-0.0294153766032746,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,133217952205.8,1212.0,0.0776255707762557,2026-02-11 15:25:13 UTC,True,True,True,True,True,False,True,False,20.0,15.0,20.0,16.0,71.0,51.0,2,False,Retired,Remove,predicted_change_non_positive;missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.13042925260965,51.0,0.2092501581152341,Flat,0.0,0.0,-0.0126356095778563,-1.0720051165853286,0.002,0.13042925260965,0.2092501581152341,0.5814996837695319,0.51,1.0,False,short_disallowed,model,True,,,,,,,,,,,,,,,,,,,
