market,pool_key,instrument_id,name,display,symbol,snapshot_symbol,provider,status,recommended_action,alerts,current_price,predicted_price,predicted_change_pct,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_reason,expected_date_market,total_score,liquidity_score,data_quality_score,history_score,coverage_score,factor_support_count,price_source,news_score_30m,news_score_120m,news_score_1440m,news_count_30m,news_burst_zscore,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes
us_equity,sp500,us_equity:aapl,Apple Inc.,AAPL Apple Inc.,AAPL,AAPL,yahoo,Active,Keep/Open,,278.77,280.7040178139741,0.006937682727603756,Long,0.18137964688943556,0.18137964688943556,0.0049376827276037556,1.3764778139740987,long_signal,2026-02-16 11:37 -0500,82.52968036529681,30.0,16.529680365296812,20.0,16.0,3,eastmoney_quote:105.AAPL,,,,,,low,False,True,nan
us_equity,sp500,us_equity:adi,Analog Devices,ADI Analog Devices,ADI,ADI,yahoo,Active,Keep/Open,,334.225,342.013476485927,0.023303093682181197,Long,0.34846726474801276,0.34846726474801276,0.021303093682181196,7.120026485927011,long_signal,2026-02-16 11:37 -0500,75.02968036529681,22.5,16.529680365296812,20.0,16.0,3,eastmoney_quote:105.ADI,,,,,,low,False,True,nan
us_equity,sp500,us_equity:abbv,AbbVie,ABBV AbbVie,ABBV,ABBV,yahoo,Active,Keep/Open,,221.7899932861328,223.7401810960036,0.00879294769333816,Long,0.19296125729083993,0.19296125729083993,0.00679294769333816,1.5066078232985218,long_signal,2026-02-16 11:37 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,2,yahoo_latest,,,,,,low,False,True,nan
us_equity,sp500,us_equity:adm,Archer Daniels Midland,ADM Archer Daniels Midland,ADM,ADM,yahoo,Active,Keep/Open,,69.43000030517578,70.62943728710633,0.017275485764921328,Long,0.29579069968817323,0.29579069968817323,0.015275485764921328,1.0605769813201962,long_signal,2026-02-16 11:37 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,2,yahoo_latest,,,,,,low,False,True,nan
us_equity,sp500,us_equity:a,Agilent Technologies,A Agilent Technologies,A,A,yahoo,Watch,Monitor/Reduce,predicted_change_non_positive,128.4499969482422,125.89855153974267,-0.0198633356879534,Short,0.3109651003968784,-0.3109651003968784,0.017863335687953397,2.2945454146030397,short_signal,2026-02-16 11:37 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,1,yahoo_latest,0.0,0.0,0.0,0.0,0.0,low,False,True,nan
us_equity,sp500,us_equity:abnb,Airbnb,ABNB Airbnb,ABNB,ABNB,yahoo,Watch,Monitor/Reduce,predicted_change_non_positive,118.375,115.0548032479607,-0.028048124621240067,Short,0.29439921788130946,-0.29439921788130946,0.026048124621240065,3.0834467520392925,short_signal,2026-02-16 11:37 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,1,eastmoney_quote:105.ABNB,,,,,,low,False,True,nan
us_equity,sp500,us_equity:abt,Abbott Laboratories,ABT Abbott Laboratories,ABT,ABT,yahoo,Watch,Monitor/Reduce,,111.875,112.76532574356467,0.00795821893689097,Long,0.13434572121798918,0.13434572121798918,0.0059582189368909706,0.6665757435646773,long_signal,2026-02-16 11:37 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,1,yahoo_latest,,,,,,low,False,True,nan
us_equity,sp500,us_equity:acn,Accenture,ACN Accenture,ACN,ACN,yahoo,Watch,Monitor/Reduce,predicted_change_non_positive,230.30999755859375,224.16237378164965,-0.026692822031662233,Short,0.23578224958605548,-0.23578224958605548,0.02469282203166223,5.687003781826919,short_signal,2026-02-16 11:37 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,1,yahoo_latest,,,,,,low,False,True,nan
us_equity,sp500,us_equity:adbe,Adobe Inc.,ADBE Adobe Inc.,ADBE,ADBE,yahoo,Watch,Monitor/Reduce,predicted_change_non_positive,257.4927062988281,247.0168158969995,-0.04068422190441012,Short,0.3029741293535631,-0.3029741293535631,0.03868422190441012,9.960904989230968,short_signal,2026-02-16 11:37 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,1,yahoo_latest,,,,,,low,False,True,nan
us_equity,sp500,us_equity:acgl,Arch Capital Group,ACGL Arch Capital Group,ACGL,ACGL,yahoo,Watch,Monitor/Reduce,predicted_change_non_positive,96.64,95.67448531503778,-0.009990839041413624,Short,0.18067439062544688,-0.18067439062544688,0.007990839041413624,0.7722346849622126,short_signal,2026-02-16 11:37 -0500,60.02968036529681,7.5,16.529680365296812,20.0,16.0,3,eastmoney_quote:105.ACGL,,,,,,low,False,True,nan
